id;CodiceCatastaleComune;TipoBene;Comune;Provincia;CAP;Toponimo;Strada;NumeroCivico;TipologiaImmobile;Finalita;NaturaBene;Superficie;Cubatura;Valore;EpocaCostruzione;Latitudine;Longitudine
1160-34-4;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10156;CORSO;APPIO CLAUDIO;176 1;ABITAZIONE (11);ALLOGGIO DI SERVIZIO, FORESTERIE (1);PATRIMONIO INDISPONIBILE (2);0;;100709;PRIMA DEL 1919 (1);4.508.519;763.492
1160-34-5;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10156;CORSO;APPIO CLAUDIO;176 1;FABBRICATO PER ATTIVITA' PRODUTTIVA (21);ATTIVITA' PRODUTTIVA (9);PATRIMONIO INDISPONIBILE (2);0;;1001300;PRIMA DEL 1919 (1);4.508.519;763.492
1160-35-4;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10156;CORSO;APPIO CLAUDIO;176 1;ABITAZIONE (11);RESIDENZIALE (13);PATRIMONIO INDISPONIBILE (2);0;;119108;PRIMA DEL 1919 (1);4.508.519;763.492
1160-35-5;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10156;CORSO;APPIO CLAUDIO;176 1;ABITAZIONE (11);RESIDENZIALE (13);PATRIMONIO INDISPONIBILE (2);0;;66171;PRIMA DEL 1919 (1);4.508.519;763.492
134-42-1;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10156;VIA;AQUILEIA;1;EDIFICIO SCOLASTICO (20);ATTIVITA' DIDATTICA (7);DEMANIO (3);;11361;2053609,6;DAL 1919 AL 1945 (2);45.041.183;7.682.168
134-42-2;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10156;VIA;AQUILEIA;1;ABITAZIONE (11);ALLOGGIO DI SERVIZIO, FORESTERIE (1);DEMANIO (3);0;;27889;DAL 1919 AL 1945 (2);45.041.183;7.682.168
134-42-3;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10156;VIA;AQUILEIA;1;ABITAZIONE (11);ALLOGGIO DI SERVIZIO, FORESTERIE (1);DEMANIO (3);0;;27889;DAL 1919 AL 1945 (2);45.041.183;7.682.168
1373-74-2;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10156;VIA;AQUILEIA;1;FABBRICATO PER ATTIVITA' PRODUTTIVA (21);ATTIVITA' PRODUTTIVA (9);DEMANIO (3);0;;0;DAL 1919 AL 1945 (2);45.041.183;7.682.168
1391-174-3;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10151;VIA;COLLINO IGNAZIO;4 12;EDIFICIO SCOLASTICO (20);ATTIVITA' DIDATTICA (7);PATRIMONIO INDISPONIBILE (2);;93838;33245828;DAL 1971 AL 1980 (5);4.504.002;762.493
1391-174-4;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10151;VIA;COLLINO IGNAZIO;4 12;ABITAZIONE (11);ALLOGGIO DI SERVIZIO, FORESTERIE (1);PATRIMONIO INDISPONIBILE (2);0;;38734;DAL 1971 AL 1980 (5);4.504.002;762.493
1391-174-5;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10151;VIA;COLLINO IGNAZIO;4 12;ABITAZIONE (11);ALLOGGIO DI SERVIZIO, FORESTERIE (1);PATRIMONIO INDISPONIBILE (2);0;;38734;DAL 1971 AL 1980 (5);4.504.002;762.493
1391-174-6;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10151;VIA;COLLINO IGNAZIO;4 12;IMPIANTO SPORTIVO (24);ATTIVITA' SPORTIVA, RICREATIVA E DI INTRATTENIMENTO (10);PATRIMONIO INDISPONIBILE (2);0;;257712;DAL 1971 AL 1980 (5);4.504.002;762.493
1391-174-7;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10151;VIA;COLLINO IGNAZIO;4 12;FABBRICATO PER ATTIVITA' PRODUTTIVA (21);ATTIVITA' PRODUTTIVA (9);PATRIMONIO INDISPONIBILE (2);0;;6714;DAL 1971 AL 1980 (5);4.504.002;762.493
1344-278-2;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10136;VIA;TIRRENO;177;STRUTTURA RESIDENZIALE COLLETTIVA (32);SERVIZI ASSISTENZA SOCIO-SANITARIA (RESIDENZIALE) (15);PATRIMONIO INDISPONIBILE (2);;34076;0;DAL 1991 AL 2000 (7);4.505.307;764.587
1344-278-3;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10136;VIA;TIRRENO;177;CANTINA, SOFFITTA, RIMESSA, BOX, GARAGE, POSTO AUTO APERTO/SCOPERTO, ? (14);SERVIZI ASSISTENZA SOCIO-SANITARIA (RESIDENZIALE) (15);PATRIMONIO INDISPONIBILE (2);26;;0;DAL 1991 AL 2000 (7);4.505.307;764.587
1344-278-4;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10136;VIA;TIRRENO;177;CANTINA, SOFFITTA, RIMESSA, BOX, GARAGE, POSTO AUTO APERTO/SCOPERTO, ? (14);SERVIZI ASSISTENZA SOCIO-SANITARIA (RESIDENZIALE) (15);PATRIMONIO INDISPONIBILE (2);26;;0;DAL 1991 AL 2000 (7);4.505.307;764.587
1344-278-5;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10136;VIA;TIRRENO;177;CANTINA, SOFFITTA, RIMESSA, BOX, GARAGE, POSTO AUTO APERTO/SCOPERTO, ? (14);SERVIZI ASSISTENZA SOCIO-SANITARIA (RESIDENZIALE) (15);PATRIMONIO INDISPONIBILE (2);26;;0;DAL 1991 AL 2000 (7);4.505.307;764.587
1344-278-6;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10136;VIA;TIRRENO;SNC;FABBRICATO PER ATTIVITA' PRODUTTIVA (21);ATTIVITA' PRODUTTIVA (9);PATRIMONIO INDISPONIBILE (2);0;;0;DAL 1991 AL 2000 (7);45.053.296;7.644.531
1389-165-1;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10148;VIA;PALATUCCI GIOVANNI;12;IMPIANTO SPORTIVO (24);ATTIVITA' SPORTIVA, RICREATIVA E DI INTRATTENIMENTO (10);PATRIMONIO INDISPONIBILE (2);0;;147500,16;DAL 1981 AL 1990 (6);4.504.885;7.620.698
1389-165-2;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10148;VIA;PALATUCCI GIOVANNI;12:00 AM;IMPIANTO SPORTIVO (24);ATTIVITA' SPORTIVA, RICREATIVA E DI INTRATTENIMENTO (10);PATRIMONIO INDISPONIBILE (2);0;;186130,96;DAL 1981 AL 1990 (6);4.504.885;7.620.698
1389-165-3;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10148;VIA;PALATUCCI GIOVANNI;22 A;IMPIANTO SPORTIVO (24);ATTIVITA' SPORTIVA, RICREATIVA E DI INTRATTENIMENTO (10);PATRIMONIO INDISPONIBILE (2);0;;79018,04;DAL 1981 AL 1990 (6);45.047.391;7.620.353
1294-407-;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10156;VIA;BARD;14;ABITAZIONE (11);RESIDENZIALE (13);PATRIMONIO DISPONIBILE (1);0;;8651;DAL 1919 AL 1945 (2);45.065.596;7.616.998
1059-281-23;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10135;VIA;VENARIA;36;LOCALE COMMERCIALE, NEGOZIO (26);ATTIVITA' COMMERCIALE E DI RISTORAZIONE (4);PATRIMONIO INDISPONIBILE (2);87;;47816,24;DAL 1919 AL 1945 (2);45.108.137;7.661.116
1059-281-24;L219;UNITA' IMMOBILIARE (1);TORINO;TO;10135;VIA;VENARIA;36;ABITAZIONE (11);RESIDENZIALE (13);PATRIMONIO INDISPONIBILE (2);0;;22724;DAL 1919 AL 1945 (2);45.108.137;7.661.116
